Energy(eV)	C_p_DOS	Pt_d_DOS
-22.425928	0.000000	0.000000
-22.405928	0.000000	0.000000
-22.385928	0.000000	0.000000
-22.365928	0.000000	0.000000
-22.345928	0.000000	0.000000
-22.325828	0.000000	0.000000
-22.305828	0.000000	0.000000
-22.285828	0.000000	0.000000
-22.265828	0.000000	0.000000
-22.245828	0.000000	0.000000
-22.225828	0.000000	0.000000
-22.205828	0.000000	0.000000
-22.185828	0.000000	0.000000
-22.165828	0.000000	0.000000
-22.145828	0.000000	0.000000
-22.125728	0.000000	0.000000
-22.105728	0.000000	0.000000
-22.085728	0.000000	0.000000
-22.065728	0.000000	0.000000
-22.045728	0.000000	0.000000
-22.025728	0.000000	0.000000
-22.005728	0.000000	0.000000
-21.985728	0.000000	0.000000
-21.965728	0.000000	0.000000
-21.945728	0.000000	0.000000
-21.925628	0.000000	0.000000
-21.905628	0.000000	0.000000
-21.885628	0.000000	0.000000
-21.865628	0.000000	0.000000
-21.845628	0.000000	0.000000
-21.825628	0.000000	0.000000
-21.805628	0.000000	0.000000
-21.785628	0.000000	0.000000
-21.765628	0.000000	0.000000
-21.745628	0.000000	0.000000
-21.725528	0.000000	0.000000
-21.705528	0.000000	0.000000
-21.685528	0.000000	0.000000
-21.665528	0.000000	0.000000
-21.645528	0.000000	0.000000
-21.625528	0.000000	0.000000
-21.605528	0.000000	0.000000
-21.585528	0.000000	0.000000
-21.565528	0.000000	0.000000
-21.545528	0.000000	0.000000
-21.525428	0.000000	0.000000
-21.505428	0.000000	0.000000
-21.485428	0.000000	0.000000
-21.465428	0.000000	0.000000
-21.445428	0.000000	0.000000
-21.425428	0.000000	0.000000
-21.405428	0.000000	0.000000
-21.385428	0.000000	0.000000
-21.365428	0.000000	0.000000
-21.345428	0.000000	0.000000
-21.325328	0.000000	0.000000
-21.305328	0.000000	0.000000
-21.285328	0.000000	0.000000
-21.265328	0.000000	0.000000
-21.245328	0.000000	0.000000
-21.225328	0.000000	0.000000
-21.205328	0.000000	0.000000
-21.185328	0.000000	0.000000
-21.165328	0.000000	0.000000
-21.145328	0.000000	0.000000
-21.125228	0.000000	0.000000
-21.105228	0.000000	0.000000
-21.085228	0.000000	0.000000
-21.065228	0.000000	0.000000
-21.045228	0.000000	0.000000
-21.025228	0.000000	0.000000
-21.005228	0.000000	0.000000
-20.985228	0.000000	0.000000
-20.965228	0.000000	0.000000
-20.945228	0.000000	0.000000
-20.925128	0.000000	0.000000
-20.905128	0.000000	0.000000
-20.885128	0.000000	0.000000
-20.865128	0.000000	0.000000
-20.845128	0.000000	0.000000
-20.825128	0.000000	0.000000
-20.805128	0.000000	0.000000
-20.785128	0.000000	0.000000
-20.765128	0.000000	0.000000
-20.745128	0.000000	0.000000
-20.725028	0.000000	0.000000
-20.705028	0.000000	0.000000
-20.685028	0.000000	0.000000
-20.665028	0.000000	0.000000
-20.645028	0.000000	0.000000
-20.625028	0.000000	0.000000
-20.605028	0.000000	0.000000
-20.585028	0.000000	0.000000
-20.565028	0.000000	0.000000
-20.545028	0.000000	0.000000
-20.524928	0.000000	0.000000
-20.504928	0.000000	0.000000
