Energy(eV)	C_p_DOS	Pt_d_DOS
-16.723805	0.000000	0.000000
-16.683805	0.000000	0.000000
-16.643705	0.000000	0.000000
-16.603705	0.000000	0.000000
-16.563605	0.000000	0.000000
-16.523605	0.000000	0.000000
-16.483605	0.000000	0.000000
-16.443505	0.000000	0.000000
-16.403505	0.000000	0.000000
-16.363405	0.000000	0.000000
-16.323405	0.000000	0.000000
-16.283405	0.000000	0.000000
-16.243305	0.000000	0.000000
-16.203305	0.000000	0.000000
-16.163205	0.000000	0.000000
-16.123205	0.000000	0.000000
-16.083205	0.000000	0.000000
-16.043105	0.000000	0.000000
-16.003105	0.000000	0.000000
-15.963005	0.000000	0.000000
-15.923005	0.000000	0.000000
-15.883005	0.000000	0.000000
-15.842905	0.000000	0.000000
-15.802905	0.000000	0.000000
-15.762805	0.000000	0.000000
-15.722805	0.000000	0.000000
-15.682805	0.000000	0.000000
-15.642705	0.000000	0.000000
-15.602705	0.000000	0.000000
-15.562605	0.000000	0.000000
-15.522605	0.000000	0.000000
-15.482605	0.000000	0.000000
-15.442505	0.000000	0.000000
-15.402505	0.000000	0.000000
-15.362405	0.000000	0.000000
-15.322405	0.000000	0.000000
-15.282405	0.000000	0.000000
-15.242305	0.000000	0.000000
-15.202305	0.000000	0.000000
-15.162205	0.000000	0.000000
-15.122205	0.000000	0.000000
-15.082205	0.000000	0.000000
-15.042105	0.000000	0.000000
-15.002105	0.000000	0.000000
-14.962005	0.000000	0.000000
-14.922005	0.000000	0.000000
-14.882005	0.000000	0.000000
-14.841905	0.000000	0.000000
-14.801905	0.000000	0.000000
-14.761805	0.000000	0.000000
-14.721805	0.000000	0.000000
-14.681805	0.000000	0.000000
-14.641705	0.000000	0.000000
-14.601705	0.000000	0.000000
-14.561605	0.000000	0.000000
-14.521605	0.000000	0.000000
-14.481605	0.000000	0.000000
-14.441505	0.000000	0.000000
-14.401505	0.000000	0.000000
-14.361405	0.000000	0.000000
-14.321405	0.000000	0.000000
-14.281405	0.000000	0.000000
-14.241305	0.000000	0.000000
-14.201305	0.000000	0.000000
-14.161205	0.000000	0.000000
-14.121205	0.000000	0.000000
