Energy(eV)	C_p_DOS	Pt_d_DOS
-22.711025	0.000000	0.000000
-22.691025	0.000000	0.000000
-22.671025	0.000000	0.000000
-22.651025	0.000000	0.000000
-22.631025	0.000000	0.000000
-22.610925	0.000000	0.000000
-22.590925	0.000000	0.000000
-22.570925	0.000000	0.000000
-22.550925	0.000000	0.000000
-22.530925	0.000000	0.000000
-22.510925	0.000000	0.000000
-22.490925	0.000000	0.000000
-22.470925	0.000000	0.000000
-22.450925	0.000000	0.000000
-22.430925	0.000000	0.000000
-22.410825	0.000000	0.000000
-22.390825	0.000000	0.000000
-22.370825	0.000000	0.000000
-22.350825	0.000000	0.000000
-22.330825	0.000000	0.000000
-22.310825	0.000000	0.000000
-22.290825	0.000000	0.000000
-22.270825	0.000000	0.000000
-22.250825	0.000000	0.000000
-22.230825	0.000000	0.000000
-22.210725	0.000000	0.000000
-22.190725	0.000000	0.000000
-22.170725	0.000000	0.000000
-22.150725	0.000000	0.000000
-22.130725	0.000000	0.000000
-22.110725	0.000000	0.000000
-22.090725	0.000000	0.000000
-22.070725	0.000000	0.000000
-22.050725	0.000000	0.000000
-22.030725	0.000000	0.000000
-22.010625	0.000000	0.000000
-21.990625	0.000000	0.000000
-21.970625	0.000000	0.000000
-21.950625	0.000000	0.000000
-21.930625	0.000000	0.000000
-21.910625	0.000000	0.000000
-21.890625	0.000000	0.000000
-21.870625	0.000000	0.000000
-21.850625	0.000000	0.000000
-21.830625	0.000000	0.000000
-21.810525	0.000000	0.000000
-21.790525	0.000000	0.000000
-21.770525	0.000000	0.000000
-21.750525	0.000000	0.000000
-21.730525	0.000000	0.000000
-21.710525	0.000000	0.000000
-21.690525	0.000000	0.000000
-21.670525	0.000000	0.000000
-21.650525	0.000000	0.000000
-21.630525	0.000000	0.000000
-21.610425	0.000000	0.000000
-21.590425	0.000000	0.000000
-21.570425	0.000000	0.000000
-21.550425	0.000000	0.000000
-21.530425	0.000000	0.000000
-21.510425	0.000000	0.000000
-21.490425	0.000000	0.000000
-21.470425	0.000000	0.000000
-21.450425	0.000000	0.000000
-21.430425	0.000000	0.000000
-21.410325	0.000000	0.000000
-21.390325	0.000000	0.000000
-21.370325	0.000000	0.000000
-21.350325	0.000000	0.000000
-21.330325	0.000000	0.000000
-21.310325	0.000000	0.000000
-21.290325	0.000000	0.000000
-21.270325	0.000000	0.000000
-21.250325	0.000000	0.000000
-21.230325	0.000000	0.000000
-21.210225	0.000000	0.000000
-21.190225	0.000000	0.000000
-21.170225	0.000000	0.000000
-21.150225	0.000000	0.000000
-21.130225	0.000000	0.000000
-21.110225	0.000000	0.000000
-21.090225	0.000000	0.000000
-21.070225	0.000000	0.000000
-21.050225	0.000000	0.000000
-21.030225	0.000000	0.000000
-21.010125	0.000000	0.000000
-20.990125	0.000000	0.000000
-20.970125	0.000000	0.000000
-20.950125	0.000000	0.000000
-20.930125	0.000000	0.000000
-20.910125	0.000000	0.000000
-20.890125	0.000000	0.000000
-20.870125	0.000000	0.000000
-20.850125	0.000000	0.000000
-20.830125	0.000000	0.000000
-20.810025	0.000000	0.000000
-20.790025	0.000000	0.000000
-20.770025	0.000000	0.000000
-20.750025	0.000000	0.000000
-20.730025	0.000000	0.000000
-20.710025	0.000000	0.000000
-20.690025	0.000000	0.000000
-20.670025	0.000000	0.000000
-20.650025	0.000000	0.000000
-20.630025	0.000000	0.000000
-20.609925	0.000000	0.000000
-20.589925	0.000000	0.000000
-20.569925	0.000000	0.000000
-20.549925	0.000000	0.000000
-20.529925	0.000000	0.000000
-20.509925	0.000000	0.000000
-20.489925	0.000000	0.000000
-20.469925	0.000000	0.000000
-20.449925	0.000000	0.000000
-20.429925	0.000000	0.000000
-20.409825	0.000000	0.000000
-20.389825	0.000000	0.000000
-20.369825	0.000000	0.000000
-20.349825	0.000000	0.000000
-20.329825	0.000000	0.000000
-20.309825	0.000000	0.000000
-20.289825	0.000000	0.000000
-20.269825	0.000000	0.000000
-20.249825	0.000000	0.000000
-20.229825	0.000000	0.000000
-20.209725	0.000000	0.000000
-20.189725	0.000000	0.000000
-20.169725	0.000000	0.000000
-20.149725	0.000000	0.000000
-20.129725	0.000000	0.000000
-20.109725	0.000000	0.000000
-20.089725	0.000000	0.000000
-20.069725	0.000000	0.000000
-20.049725	0.000000	0.000000
-20.029725	0.000000	0.000000
-20.009625	0.000000	0.000000
-19.989625	0.000000	0.000000
-19.969625	0.000000	0.000000
-19.949625	0.000000	0.000000
-19.929625	0.000000	0.000000
-19.909625	0.000000	0.000000
-19.889625	0.000000	0.000000
-19.869625	0.000000	0.000000
-19.849625	0.000000	0.000000
-19.829625	0.000000	0.000000
-19.809525	0.000000	0.000000
-19.789525	0.000000	0.000000
-19.769525	0.000000	0.000000
-19.749525	0.000000	0.000000
-19.729525	0.000000	0.000000
-19.709525	0.000000	0.000000
-19.689525	0.000000	0.000000
-19.669525	0.000000	0.000000
-19.649525	0.000000	0.000000
-19.629525	0.000000	0.000000
-19.609425	0.000000	0.000000
-19.589425	0.000000	0.000000
-19.569425	0.000000	0.000000
-19.549425	0.000000	0.000000
-19.529425	0.000000	0.000000
-19.509425	0.000000	0.000000
-19.489425	0.000000	0.000000
-19.469425	0.000000	0.000000
-19.449425	0.000000	0.000000
-19.429425	0.000000	0.000000
-19.409325	0.000000	0.000000
-19.389325	0.000000	0.000000
-19.369325	0.000000	0.000000
-19.349325	0.000000	0.000000
-19.329325	0.000000	0.000000
-19.309325	0.000000	0.000000
-19.289325	0.000000	0.000000
-19.269325	0.000000	0.000000
-19.249325	0.000000	0.000000
-19.229325	0.000000	0.000000
-19.209225	0.000000	0.000000
-19.189225	0.000000	0.000000
-19.169225	0.000000	0.000000
-19.149225	0.000000	0.000000
-19.129225	0.000000	0.000000
-19.109225	0.000000	0.000000
-19.089225	0.000000	0.000000
-19.069225	0.000000	0.000000
-19.049225	0.000000	0.000000
-19.029225	0.000000	0.000000
-19.009125	0.000000	0.000000
-18.989125	0.000000	0.000000
-18.969125	0.000000	0.000000
-18.949125	0.000000	0.000000
-18.929125	0.000000	0.000000
-18.909125	0.000000	0.000000
-18.889125	0.000000	0.000000
-18.869125	0.000000	0.000000
-18.849125	0.000000	0.000000
-18.829125	0.000000	0.000000
-18.809025	0.000000	0.000000
-18.789025	0.000000	0.000000
-18.769025	0.000000	0.000000
-18.749025	0.000000	0.000000
-18.729025	0.000000	0.000000
-18.709025	0.000000	0.000000
-18.689025	0.000000	0.000000
-18.669025	0.000000	0.000000
-18.649025	0.000000	0.000000
-18.629025	0.000000	0.000000
-18.608925	0.000000	0.000000
-18.588925	0.000000	0.000000
-18.568925	0.000000	0.000000
-18.548925	0.000000	0.000000
-18.528925	0.000000	0.000000
-18.508925	0.000000	0.000000
-18.488925	0.000000	0.000000
