Energy(eV)	C_p_DOS	Pt_d_DOS
-22.725110	0.000000	0.000000
-22.705110	0.000000	0.000000
-22.685111	0.000000	0.000000
-22.665111	0.000000	0.000000
-22.645111	0.000000	0.000000
-22.625010	0.000000	0.000000
-22.605010	0.000000	0.000000
-22.585010	0.000000	0.000000
-22.565010	0.000000	0.000000
-22.545011	0.000000	0.000000
-22.525011	0.000000	0.000000
-22.505011	0.000000	0.000000
-22.485010	0.000000	0.000000
-22.465010	0.000000	0.000000
-22.445010	0.000000	0.000000
-22.424910	0.000000	0.000000
-22.404910	0.000000	0.000000
-22.384911	0.000000	0.000000
-22.364911	0.000000	0.000000
-22.344911	0.000000	0.000000
-22.324910	0.000000	0.000000
-22.304910	0.000000	0.000000
-22.284910	0.000000	0.000000
-22.264910	0.000000	0.000000
-22.244910	0.000000	0.000000
-22.224811	0.000000	0.000000
-22.204811	0.000000	0.000000
-22.184811	0.000000	0.000000
-22.164810	0.000000	0.000000
-22.144810	0.000000	0.000000
-22.124810	0.000000	0.000000
-22.104810	0.000000	0.000000
-22.084810	0.000000	0.000000
-22.064811	0.000000	0.000000
-22.044811	0.000000	0.000000
-22.024711	0.000000	0.000000
-22.004710	0.000000	0.000000
-21.984710	0.000000	0.000000
-21.964710	0.000000	0.000000
-21.944710	0.000000	0.000000
-21.924710	0.000000	0.000000
-21.904711	0.000000	0.000000
-21.884711	0.000000	0.000000
-21.864711	0.000000	0.000000
-21.844710	0.000000	0.000000
-21.824610	0.000000	0.000000
-21.804610	0.000000	0.000000
-21.784610	0.000000	0.000000
-21.764610	0.000000	0.000000
-21.744611	0.000000	0.000000
-21.724611	0.000000	0.000000
-21.704611	0.000000	0.000000
-21.684610	0.000000	0.000000
-21.664610	0.000000	0.000000
-21.644610	0.000000	0.000000
-21.624510	0.000000	0.000000
-21.604510	0.000000	0.000000
-21.584511	0.000000	0.000000
-21.564511	0.000000	0.000000
-21.544511	0.000000	0.000000
-21.524510	0.000000	0.000000
-21.504510	0.000000	0.000000
-21.484510	0.000000	0.000000
-21.464510	0.000000	0.000000
-21.444510	0.000000	0.000000
-21.424411	0.000000	0.000000
-21.404411	0.000000	0.000000
-21.384411	0.000000	0.000000
-21.364410	0.000000	0.000000
-21.344410	0.000000	0.000000
-21.324410	0.000000	0.000000
-21.304410	0.000000	0.000000
-21.284410	0.000000	0.000000
-21.264411	0.000000	0.000000
-21.244411	0.000000	0.000000
-21.224310	0.000000	0.000000
-21.204310	0.000000	0.000000
-21.184310	0.000000	0.000000
-21.164310	0.000000	0.000000
-21.144310	0.000000	0.000000
-21.124310	0.000000	0.000000
-21.104311	0.000000	0.000000
-21.084311	0.000000	0.000000
-21.064311	0.000000	0.000000
-21.044310	0.000000	0.000000
-21.024210	0.000000	0.000000
-21.004210	0.000000	0.000000
-20.984210	0.000000	0.000000
-20.964211	0.000000	0.000000
-20.944211	0.000000	0.000000
-20.924211	0.000000	0.000000
-20.904210	0.000000	0.000000
-20.884210	0.000000	0.000000
-20.864210	0.000000	0.000000
-20.844210	0.000000	0.000000
-20.824110	0.000000	0.000000
-20.804111	0.000000	0.000000
-20.784111	0.000000	0.000000
-20.764111	0.000000	0.000000
-20.744110	0.000000	0.000000
-20.724110	0.000000	0.000000
-20.704110	0.000000	0.000000
-20.684110	0.000000	0.000000
-20.664110	0.000000	0.000000
-20.644111	0.000000	0.000000
-20.624011	0.000000	0.000000
-20.604011	0.000000	0.000000
-20.584010	0.000000	0.000000
-20.564010	0.000000	0.000000
-20.544010	0.000000	0.000000
-20.524010	0.000000	0.000000
-20.504010	0.000000	0.000000
-20.484011	0.000000	0.000000
-20.464011	0.000000	0.000000
-20.444011	0.000000	0.000000
-20.423910	0.000000	0.000000
-20.403910	0.000000	0.000000
-20.383910	0.000000	0.000000
-20.363910	0.000000	0.000000
-20.343910	0.000000	0.000000
-20.323911	0.000000	0.000000
-20.303911	0.000000	0.000000
-20.283911	0.000000	0.000000
-20.263910	0.000000	0.000000
-20.243910	0.000000	0.000000
-20.223810	0.000000	0.000000
-20.203810	0.000000	0.000000
-20.183810	0.000000	0.000000
-20.163811	0.000000	0.000000
-20.143811	0.000000	0.000000
-20.123811	0.000000	0.000000
-20.103810	0.000000	0.000000
-20.083810	0.000000	0.000000
-20.063810	0.000000	0.000000
-20.043810	0.000000	0.000000
-20.023710	0.000000	0.000000
-20.003711	0.000000	0.000000
-19.983711	0.000000	0.000000
-19.963711	0.000000	0.000000
-19.943710	0.000000	0.000000
-19.923710	0.000000	0.000000
-19.903710	0.000000	0.000000
-19.883710	0.000000	0.000000
-19.863710	0.000000	0.000000
-19.843711	0.000000	0.000000
-19.823611	0.000000	0.000000
-19.803610	0.000000	0.000000
-19.783610	0.000000	0.000000
-19.763610	0.000000	0.000000
-19.743610	0.000000	0.000000
-19.723610	0.000000	0.000000
-19.703610	0.000000	0.000000
-19.683611	0.000000	0.000000
-19.663611	0.000000	0.000000
-19.643611	0.000000	0.000000
-19.623510	0.000000	0.000000
-19.603510	0.000000	0.000000
-19.583510	0.000000	0.000000
-19.563510	0.000000	0.000000
-19.543511	0.000000	0.000000
-19.523511	0.000000	0.000000
-19.503511	0.000000	0.000000
-19.483511	0.000000	0.000000
-19.463510	0.000000	0.000000
-19.443510	0.000000	0.000000
-19.423410	0.000000	0.000000
-19.403410	0.000000	0.000000
-19.383411	0.000000	0.000000
-19.363411	0.000000	0.000000
-19.343411	0.000000	0.000000
-19.323410	0.000000	0.000000
-19.303410	0.000000	0.000000
-19.283410	0.000000	0.000000
-19.263410	0.000000	0.000000
-19.243410	0.000000	0.000000
-19.223311	0.000000	0.000000
-19.203311	0.000000	0.000000
-19.183311	0.000000	0.000000
-19.163310	0.000000	0.000000
-19.143310	0.000000	0.000000
-19.123310	0.000000	0.000000
-19.103310	0.000000	0.000000
-19.083310	0.000000	0.000000
-19.063311	0.000000	0.000000
-19.043311	0.000000	0.000000
