Energy(eV)	C_p_DOS	Pt_d_DOS
-22.742773	0.000000	0.000000
-22.722773	0.000000	0.000000
-22.702773	0.000000	0.000000
-22.682773	0.000000	0.000000
-22.662773	0.000000	0.000000
-22.642673	0.000000	0.000000
-22.622673	0.000000	0.000000
-22.602673	0.000000	0.000000
-22.582673	0.000000	0.000000
-22.562673	0.000000	0.000000
-22.542673	0.000000	0.000000
-22.522673	0.000000	0.000000
-22.502673	0.000000	0.000000
-22.482673	0.000000	0.000000
-22.462673	0.000000	0.000000
-22.442573	0.000000	0.000000
-22.422573	0.000000	0.000000
-22.402573	0.000000	0.000000
-22.382573	0.000000	0.000000
-22.362573	0.000000	0.000000
-22.342573	0.000000	0.000000
-22.322573	0.000000	0.000000
-22.302573	0.000000	0.000000
-22.282573	0.000000	0.000000
-22.262573	0.000000	0.000000
-22.242473	0.000000	0.000000
-22.222473	0.000000	0.000000
-22.202473	0.000000	0.000000
-22.182473	0.000000	0.000000
-22.162473	0.000000	0.000000
-22.142473	0.000000	0.000000
-22.122473	0.000000	0.000000
-22.102473	0.000000	0.000000
-22.082473	0.000000	0.000000
-22.062473	0.000000	0.000000
-22.042373	0.000000	0.000000
-22.022373	0.000000	0.000000
-22.002373	0.000000	0.000000
-21.982373	0.000000	0.000000
-21.962373	0.000000	0.000000
-21.942373	0.000000	0.000000
-21.922373	0.000000	0.000000
-21.902373	0.000000	0.000000
-21.882373	0.000000	0.000000
-21.862373	0.000000	0.000000
-21.842273	0.000000	0.000000
-21.822273	0.000000	0.000000
-21.802273	0.000000	0.000000
-21.782273	0.000000	0.000000
-21.762273	0.000000	0.000000
-21.742273	0.000000	0.000000
-21.722273	0.000000	0.000000
-21.702273	0.000000	0.000000
-21.682273	0.000000	0.000000
-21.662273	0.000000	0.000000
-21.642173	0.000000	0.000000
-21.622173	0.000000	0.000000
-21.602173	0.000000	0.000000
-21.582173	0.000000	0.000000
-21.562173	0.000000	0.000000
-21.542173	0.000000	0.000000
-21.522173	0.000000	0.000000
-21.502173	0.000000	0.000000
-21.482173	0.000000	0.000000
-21.462173	0.000000	0.000000
-21.442073	0.000000	0.000000
-21.422073	0.000000	0.000000
-21.402073	0.000000	0.000000
-21.382073	0.000000	0.000000
-21.362073	0.000000	0.000000
-21.342073	0.000000	0.000000
-21.322073	0.000000	0.000000
-21.302073	0.000000	0.000000
-21.282073	0.000000	0.000000
-21.262073	0.000000	0.000000
-21.241973	0.000000	0.000000
-21.221973	0.000000	0.000000
-21.201973	0.000000	0.000000
-21.181973	0.000000	0.000000
-21.161973	0.000000	0.000000
-21.141973	0.000000	0.000000
-21.121973	0.000000	0.000000
-21.101973	0.000000	0.000000
-21.081973	0.000000	0.000000
-21.061973	0.000000	0.000000
-21.041873	0.000000	0.000000
-21.021873	0.000000	0.000000
-21.001873	0.000000	0.000000
-20.981873	0.000000	0.000000
-20.961873	0.000000	0.000000
-20.941873	0.000000	0.000000
-20.921873	0.000000	0.000000
-20.901873	0.000000	0.000000
-20.881873	0.000000	0.000000
-20.861873	0.000000	0.000000
-20.841773	0.000000	0.000000
-20.821773	0.000000	0.000000
-20.801773	0.000000	0.000000
-20.781773	0.000000	0.000000
-20.761773	0.000000	0.000000
-20.741773	0.000000	0.000000
-20.721773	0.000000	0.000000
-20.701773	0.000000	0.000000
-20.681773	0.000000	0.000000
-20.661773	0.000000	0.000000
-20.641673	0.000000	0.000000
-20.621673	0.000000	0.000000
-20.601673	0.000000	0.000000
-20.581673	0.000000	0.000000
-20.561673	0.000000	0.000000
-20.541673	0.000000	0.000000
-20.521673	0.000000	0.000000
-20.501673	0.000000	0.000000
-20.481673	0.000000	0.000000
-20.461673	0.000000	0.000000
-20.441573	0.000000	0.000000
-20.421573	0.000000	0.000000
-20.401573	0.000000	0.000000
-20.381573	0.000000	0.000000
-20.361573	0.000000	0.000000
-20.341573	0.000000	0.000000
-20.321573	0.000000	0.000000
-20.301573	0.000000	0.000000
-20.281573	0.000000	0.000000
-20.261573	0.000000	0.000000
-20.241473	0.000000	0.000000
-20.221473	0.000000	0.000000
-20.201473	0.000000	0.000000
-20.181473	0.000000	0.000000
-20.161473	0.000000	0.000000
-20.141473	0.000000	0.000000
-20.121473	0.000000	0.000000
-20.101473	0.000000	0.000000
-20.081473	0.000000	0.000000
-20.061473	0.000000	0.000000
-20.041373	0.000000	0.000000
-20.021373	0.000000	0.000000
-20.001373	0.000000	0.000000
-19.981373	0.000000	0.000000
-19.961373	0.000000	0.000000
-19.941373	0.000000	0.000000
-19.921373	0.000000	0.000000
-19.901373	0.000000	0.000000
-19.881373	0.000000	0.000000
-19.861373	0.000000	0.000000
-19.841273	0.000000	0.000000
-19.821273	0.000000	0.000000
-19.801273	0.000000	0.000000
-19.781273	0.000000	0.000000
-19.761273	0.000000	0.000000
-19.741273	0.000000	0.000000
-19.721273	0.000000	0.000000
-19.701273	0.000000	0.000000
-19.681273	0.000000	0.000000
-19.661273	0.000000	0.000000
-19.641173	0.000000	0.000000
-19.621173	0.000000	0.000000
-19.601173	0.000000	0.000000
-19.581173	0.000000	0.000000
-19.561173	0.000000	0.000000
-19.541173	0.000000	0.000000
-19.521173	0.000000	0.000000
-19.501173	0.000000	0.000000
-19.481173	0.000000	0.000000
-19.461173	0.000000	0.000000
-19.441073	0.000000	0.000000
-19.421073	0.000000	0.000000
-19.401073	0.000000	0.000000
-19.381073	0.000000	0.000000
-19.361073	0.000000	0.000000
-19.341073	0.000000	0.000000
-19.321073	0.000000	0.000000
-19.301073	0.000000	0.000000
-19.281073	0.000000	0.000000
